MDS1,MDS2
-1242173.4811292074,827854.5833536842
-252843.99476039197,151030.951387411
409279.83340843034,-206248.5307886332
-758506.0207995797,230662.7751940268
259283.72947227597,-99243.97552707666
-1145727.70502361,440902.68185865623
352732.8704820747,-156507.98286599433
-825734.0233764476,600374.790015333
404519.29338196287,-201639.95285982013
-697485.9591438522,518373.9547999358
176747.59716433138,-96928.47709836219
-419087.6959393839,312138.7905613528
-256801.2405856269,224309.42739485137
339515.89598241495,-206553.47679328793
552132.917407986,-294791.77692222106
407588.3377541337,-223224.52036280365
573737.3308674612,-373120.03063066327
-601238.0941276154,418061.4874306699
408466.81883170793,-215073.27705485874
399469.49441896816,-174308.57461481792
37580.43143025047,64488.31167358111
-886954.0443304547,426973.2074393767
-10562.446153801822,75397.76083060763
237478.43655484472,-141528.61826343654
501515.62998388975,-251810.66403854438
417998.5153940915,-221653.90599368614
-388301.54856515856,232560.7420365522
-481646.26858360134,368146.283677923
-793076.9498040754,382650.1326140607
448758.0329464361,-245579.48327536648
338627.4427051005,-167230.5321529785
360127.72616043076,-157977.39832758481
568813.7118548529,-309586.4290568407
591275.4723303525,-337168.91165435035
404914.8200382702,-236505.6604418125
190310.29636306193,-84821.38532465253
-41695.459563489036,105664.93302433284
406879.7374923718,-196287.25383207685
446024.0924402364,-224550.89898850583
-539953.635754617,325161.81572984665
567121.5409696682,-312147.60649675695
245872.26475772963,-142038.6829190683
515681.11816278973,-289006.8153803014
172412.93486366898,-54156.64470853783
455386.5292711671,-268253.0312642291
-187390.96036286367,209571.62191157343
149939.02725441643,74063.65423930666
606527.7466301299,-343970.4071004963
659527.0857268162,-383141.2374940636
523983.49349929055,-275018.0660166301
341738.35527099104,-226080.8955038676
-13831.21327075953,88557.52820199793
444103.80783057224,-273347.20929707936
483538.2182270282,-261916.36984969687
613843.6726629628,-352661.0008638395
85325.79489748621,-43573.497938617926
567415.9898944745,-316830.7699357144
-656755.0745125596,447873.2346869237
608224.4911425422,-337522.8117218305
545407.1022062643,-318451.21776243526
172646.8736404256,-36163.47625094997
597299.9081475668,-341242.9086388144
644307.0734991278,-369810.21961702657
567984.5433678558,-314710.83950395556
402222.49611349736,-206593.5168124502
549466.727708264,-332657.57415122207
421597.56575971626,-209247.44098271537
421507.4056595452,-210338.29542029215
371531.84732511255,-186121.44026711103
656134.7698028137,-380772.7228366423
-1985000.8783915667,695477.7840454534
664436.9847994095,-384780.5134937077
635523.4644852628,-366077.76158021233
433286.0301465193,-229319.22449366987
324285.62417802785,-185146.47878077204
-785186.7714321064,368056.7750802827
-13560.50968956976,26562.867596152682
465044.9671962604,-289897.84692347306
132778.12859001465,-121317.36374969334
-88137.90423706066,131854.84150886242
406042.6628033435,-195219.34628691565
309421.13444557006,-222318.47968451114
636715.1700299953,-397065.012636262
304856.84887106123,-79309.03802181163
-1184726.2839181533,378892.2325989721
-129467.25085431592,88230.35916746302
282153.085936546,-139453.41891563885
129755.36406777606,-124605.74954632543
493951.4578055447,-253603.82228094156
410445.64621597837,-195215.8998335434
384064.5666263782,-181703.29819278975
-86266.8762997704,25496.569952284197
657227.3653187645,-394167.2020069778
596384.3348154136,-335738.7708351686
413039.4029458517,-148211.88431947853
385653.5724530168,-205735.69943569257
21362.75764829634,-15263.358828733979
-698242.4289307615,450114.5614891551
103724.14258767513,-19335.444898393438
395362.04277572234,-217723.23568657637
603096.1205180789,-353194.483067089
175652.309798253,-57273.91896926443
591274.2886010384,-340997.9374293603
578156.5128264087,-323692.87953621935
573934.8513027739,-343744.86665329465
482377.1793591599,-259750.9050570393
-253723.86889398252,242609.78886387218
-210294.1835367801,79571.30185419509
322025.5776393729,-147863.60842022067
531887.3668063658,-304120.98513317236
581196.1360849595,-337355.19084272435
403907.7251707234,-193518.06701136887
578290.4767950524,-334642.93664534134
-1975578.6740293612,777882.4905475837
-267705.2248598102,86364.09227016996
-1248289.9847046165,637526.5315910758
372254.1271340562,-258897.16037212705
-267271.3745681416,82411.91901822205
623807.9658493929,-352895.86566295073
-371697.7439879233,280354.28230158775
657923.4498238328,-392766.2702899798
643349.0294834193,-375563.61657487525
180584.55032276126,-41327.817976624516
492684.96294367465,-273682.76342196256
416666.1858332056,-215175.9712168272
-513301.5565318192,391335.4914863796
-171154.51435173984,70787.89545862003
-562519.1755464271,356520.0294098743
652458.9470678668,-378502.4760927162
-3836.9169189192617,89332.34215836473
27984.797620608504,-104278.48693126932
159472.83972098996,-87629.65370620241
-687072.7537422339,459850.50637816935
-97885.04887042112,4606.924751616154
528452.0250813083,-277526.3395340019
245547.6412788158,-93803.63938132761
549204.3413740465,-303900.5459104886
248488.91857981283,375.24757113375665
394929.94197608,-260585.98432952006
220272.76958510285,-72766.41249828624
92544.00755926468,-67977.48973612314
541256.1675056672,-339840.7990998309
639018.0954602145,-376071.91584739456
409600.48442901956,-297490.2610428455
-138471.3179244029,80986.3864687957
-1110811.0436242349,593827.9378242852
-1398198.4060581282,841788.005541142
417702.668259755,-244443.7406598878
-1208921.4961497174,785330.5190498568
-544425.7993138961,497567.43245325034
-1013460.2614493689,650076.0109571937
-514466.81503380527,375214.53415005846
-840694.3124448162,370567.55009877565
462264.1638175652,-275684.9451166311
-564331.095545699,388109.7536939125
24919.38382452983,70969.89916730349
306490.2385467077,-161169.48943795657
501679.7481004611,-257529.52945332055
476066.17125406145,-238623.96509432598
287074.0462886794,-176340.02590100304
-95592.20828989136,6623.3494692348095
-321901.6724960777,156837.22909706342
361234.2218536075,-231071.9239761898
276215.6879132874,-151459.97290782782
77699.34575577771,-157109.90943701885
-208646.75611935428,229707.3029216305
608318.6566865247,-359663.8861934509
383491.3106301777,-219168.97058320823
-660987.9347930287,126551.91583617272
28841.22455707756,28167.77449878469
376914.80091419944,-176150.02612877174
-354264.8994647382,300677.88069362275
10606.31530799275,39432.62276850462
-1224548.354879506,748327.1054443512
126804.81206672119,-2393.842736953248
443404.81122139224,-276829.2725926417
275248.8093429664,-102472.56718711265
-29921.09467309364,39852.34980388641
-802808.2453432416,559048.5940100413
500021.49668744876,-295200.2752078931
212381.21056726243,-109606.17383721097
330731.9851780741,-138896.86075622716
347112.1460056341,-183475.8167677075
59396.33328996589,43043.40838316417
-156777.95606764828,188222.89367935676
588107.3313432963,-343718.680463458
-681042.0034584017,491201.4526085454
-513356.7664839335,364806.16050143173
211975.73708408186,-67918.01980879802
211189.65389882558,-105615.84324593068
260624.3192612272,-117425.43977486863
-95456.4132006629,39925.502221471725
86402.62355212419,-40811.04834968282
-286122.8636227049,110157.47556063431
47222.96566096145,-252700.23565233446
-77713.65339128427,122828.61191176593
433436.911743644,-209091.2597920869
153987.53719751834,-244024.9201755172
-480781.443044046,300722.23902844486
565527.0420807085,-331375.4962503551
74708.3356593017,-35399.81053135592
320697.9685587344,-133939.27085771385
232532.67805487613,-76446.18751075753
-1144415.0753579685,655379.9100136915
321549.11191162857,-140117.22043028392
488578.4093313756,-253259.216215426
-310276.6101620669,179295.3845864528
336722.67348483636,-180919.7151935979
52839.501861772624,-96590.1165559444
502485.52180411754,-297648.23029765283
-65856.91141698835,73812.4329856979
-362103.93722732476,307542.6910913643
-43640.18432198124,116706.45590975018
-3070981.110085955,1072094.829461399
-2164725.876398969,824466.2495689096
-128863.26497617297,170762.23849266197
308540.27524642984,-122848.50612069985
-4873.208971002423,66937.47895374241
-3024727.30251696,944467.0717529756
-231640.5684577642,118990.361940708
-686771.5876860205,497153.39057883114
-1646747.6102492507,383416.0974912837
-843422.243091586,580680.5647677346
-49852.51311114296,31819.229267210063
-562699.3465129739,265955.28364534915
138146.62787397977,-17310.078503665336
-1246254.8634203263,747169.2246400778
114760.52060827248,-15695.71658076052
-1728704.1892905019,984168.4393667453
-909469.6350303291,630086.5599022235
-387881.4651346889,63955.69403309434
-798214.2490164808,251667.3562386063
-1536486.4263284865,950178.3750180003
